unit_id,section_id,col_id,project_id,col_area,unit_name,strat_name_id,Mbr,Fm,Gp,SGp,t_age,b_age,max_thick,min_thick,outcrop,pbdb_collections,pbdb_occurrences
10855,2869,323,1,75593.242,Unnamed,,,,,,392.09,459.186,0.0,0.0,,0,0
38031,9806,1650,1,25745.6,Road River Fm,1749.0,,Road River,,,392.09,440.55,600.0,600.0,,0,0
8697,2187,322,1,111482.031,Unnamed,,,,,,392.09,458.2,0.0,0.0,,0,0
33478,8112,1442,1,14164.106,unnamed,,,,,,392.09,484.4125,0.0,0.0,,0,0
38188,9876,1657,1,30825.119,Upper Road River Fm,1749.0,,Road River,,,392.228,484.4125,1000.0,1000.0,,0,0
47831,12497,5727,10,21877.688,Buckland Hills,102689.0,,Buckland Hills,,,393.47,458.2,300.0,0.0,,0,0
41592,11514,2161,10,101072.555,Steel,9567.0,,Steel,Road River,,393.47,443.1,250.0,30.0,,0,0
34494,8619,1492,1,22184.869,Tsalkom Fm,9631.0,,Tsalkom,,,397.7575,471.609,200.0,200.0,,0,0
33616,8207,1452,1,17586.158,Nasina Fm,9448.0,,Nasina,,,406.3325,503.5,0.0,0.0,,0,0
18752,4885,611,1,12242.685,Unnamed,,,,,,410.62,443.1,0.0,0.0,,0,0
11187,3018,425,1,15178.011,Descon Fm,523.0,,Descon,,,410.62,471.3,3000.0,0.0,,10,196
10716,2815,393,1,136570.234,Unnamed,,,,,,411.22,441.15,0.0,0.0,,0,0
35462,8933,1541,1,14464.45,Cape Phillips Fm,4996.0,,Cape Phillips,,,411.22,440.5,480.0,480.0,,11,67
35498,8943,1543,1,8244.465,Cape Phillips Fm,4996.0,,Cape Phillips,,,411.22,449.25,940.0,940.0,,0,0
38163,9866,1656,1,10998.663,Upper Road River Fm,1749.0,,Road River,,,411.22,443.625,240.0,240.0,,1,1
34070,8441,1473,1,18083.461,unnamed,,,,,,414.67,479.5375,0.0,0.0,,0,0
9913,2506,349,1,9362.775,Lay Dam Fm,1107.0,,Lay Dam,Talladega,,414.67,443.1,4500.0,1500.0,surface,0,0
18861,4941,620,1,20728.463,Middle River,8008.0,,,Middle River,,414.67,443.1,0.0,0.0,,0,0
35543,8949,1545,1,7032.232,Cape Phillips Fm,4996.0,,Cape Phillips,,,417.42,449.25,300.0,300.0,,0,0
33479,8112,1442,1,14164.106,unnamed,,,,,,417.42,461.125,0.0,0.0,,0,0
35142,8858,1525,1,13699.332,Cape Phillips Fm,4996.0,,Cape Phillips,,,417.97,449.25,2940.0,2940.0,,76,722
10028,2532,355,1,15033.151,Spruce Pine Alaskite and Peymatite,,,,,,417.97,456.5,0.0,0.0,surface,0,0
10691,2808,392,1,13146.649,Castile Volcanics,4456.0,,Castile Volcanics,,,417.97,440.5,0.0,0.0,surface,0,0
37520,9620,1646,1,14193.119,unnamed,,,,,,417.97,486.85,0.0,0.0,,0,0
35030,8823,1520,1,48117.453,Cape Phillips Fm,4996.0,,Cape Phillips,,,417.97,449.1667,1020.0,1020.0,,0,0
35124,8854,1524,1,29140.863,Cape Phillips Fm,4996.0,,Cape Phillips,,,417.97,449.25,1100.0,1010.0,,2,6
33480,8112,1442,1,14164.106,unnamed,,,,,,418.52,461.75,0.0,0.0,,0,0
40307,10811,2037,10,195.519,Arisaig Gp,8004.0,,,Arisaig,,419.62,443.1,1500.0,1400.0,,0,0
40351,11837,2040,10,832.936,Earltown Fm,102501.0,,Earltown,,,419.62,443.1,450.0,0.0,,0,0
40320,11829,2038,10,26.839,Arisaig Gp,8004.0,,,Arisaig,,419.62,443.1,1500.0,1400.0,,0,0
40285,10936,2035,10,885.888,Arisaig Gp,8004.0,,,Arisaig,,419.62,443.1,1500.0,1400.0,,0,0
40704,11066,2088,10,525.636,Shaw Mountain,78057.0,,Shaw Mountain,St Francis,,419.62,443.1,30.0,0.0,,0,0
40710,11068,2089,10,2803.095,Shaw Mountain,78057.0,,Shaw Mountain,St Francis,,419.62,443.1,30.0,0.0,,0,0
22189,6139,784,1,72573.906,Kenogami River Fm and Attawapiskat Fm and Ekwan River Fm and Severn River Fm,5426.0,,Kenogami River,,,419.62,443.1,0.0,0.0,,0,0
33259,7756,1421,1,76726.102,Canon de Caballeros Fm,9372.0,,Canon de Caballeros,,,419.62,443.1,112.0,0.0,,19,238
40216,10743,2015,10,18.859,Rogerson Lake Conglomerate,102479.0,,Rogerson Lake Conglomerate,,,419.62,486.85,0.0,0.0,,0,0
40214,10742,2014,10,42.591,Rogerson Lake Conglomerate,102479.0,,Rogerson Lake Conglomerate,,,419.62,486.85,0.0,0.0,,0,0
5838,1367,169,1,19764.816,Undifferentiated,,,,,,419.62,443.1,64.0,0.0,subsurface,0,0
5850,1372,170,1,19926.004,Undifferentiated,,,,,,419.62,443.1,25.0,21.0,subsurface,0,0
19142,5055,639,1,7406.224,Unnamed,,,,,,419.62,443.1,0.0,0.0,,0,0
40881,11171,2125,10,4257.257,Emuckfaw,62194.0,,,Emuckfaw,,419.62,458.2,0.0,0.0,,0,0
41277,11368,2177,10,4678.94,Unnamed 2,,,,,,419.62,471.3,0.0,0.0,,0,0
17323,4447,538,1,36699.453,Unnamed,,,,,,419.62,486.85,0.0,0.0,,3,25
41281,11369,2178,10,17385.645,Hazen,9762.0,,Hazen,,,419.62,501.0,595.0,200.0,,0,0
41535,11462,2144,10,3345.595,Ordovician-Silurian Carbonates,,,,,,419.62,477.1,2500.0,0.0,,0,0
39180,10298,1711,8,855.292,Cariri,101511.0,,Cariri,,,419.62,443.1,90.0,0.0,,0,0
41447,11442,2140,10,2647.053,Laketown Dolomite,3951.0,,Laketown Dolomite,,,419.62,443.1,600.0,0.0,,0,0
39172,10292,1710,8,4340.639,Cariri,101511.0,,Cariri,,,419.62,443.1,100.0,0.0,,0,0
6791,1725,248,1,9100.108,Shoo Fly Complex,,,,,,419.62,471.609,4000.0,0.0,surface,0,0
39161,10289,1709,8,5838.928,Cariri Fm,101511.0,,Cariri,,,419.62,443.1,100.0,0.0,,0,0
35580,8957,1546,1,13948.643,Cape Phillips Fm,4996.0,,Cape Phillips,,,419.62,440.5,470.0,60.0,,0,0
35038,8825,1521,1,57212.18,unnamed,,,,,,419.62,449.25,30.0,30.0,,0,0
35111,8853,1523,1,30642.104,Cape Phillips Fm,4996.0,,Cape Phillips,,,419.62,449.25,1010.0,1010.0,,0,0
41420,11435,2139,10,11243.411,Laketown Dolomite,3951.0,,Laketown Dolomite,,,419.62,447.475,600.0,0.0,,0,0
6815,1730,249,1,11459.188,Shoo Fly Complex,,,,,,419.62,471.609,4000.0,0.0,surface,0,0
10587,2762,387,1,8765.773,Hebron Gneiss,4377.0,,Hebron Gneiss,,,420.39,449.0,500.0,250.0,surface,0,0
34178,8479,1479,1,24641.49,Road River,9547.0,,,Road River,,420.39,451.3,250.0,250.0,,0,0
34224,8490,1481,1,10271.97,Whittaker,6137.0,,Whittaker,Upper Road River,,421.93,451.3,300.0,300.0,,34,406
13924,3697,465,1,22986.613,Laketown Dolomite,3951.0,,Laketown Dolomite,,,422.7,440.5,600.0,200.0,surface,37,167
25912,7557,1277,7,71238.594,unnamed,,,,,,422.7,443.1,0.0,0.0,,0,0
22334,6207,768,1,94827.734,Kenogami River Fm and Attawapiskat Fm and Ekwan River Fm and Severn River Fm,5426.0,,Kenogami River,,,422.7,443.1,0.0,0.0,,0,0
7058,1791,236,1,12799.378,Moffet Creek Fm and Horshoe Gulch Schist and Yreka Assemblage and Duzzel Phyllite and Trinity Ophiolite,,,,,,422.7,477.1,5900.0,0.0,,0,0
22253,6174,775,1,63762.832,Kenogami River Fm and Attawapiskat Fm and Ekwan River Fm and Severn River Fm,5897.0,,Severn River,,,422.7,443.1,0.0,0.0,,0,0
432,75,16,1,2824.982,Rockwood Fm,1760.0,,Rockwood,,,423.3666,443.1,168.0,107.0,both,0,0
273,66,13,1,6650.055,Rockwood Fm,1760.0,,Rockwood,,,423.3667,443.1,244.0,61.0,both,0,0
9385,2361,338,1,22908.043,Interlake Fm,953.0,,Interlake,,,423.7,440.5,140.0,0.0,both,0,0
35490,8942,1542,1,10821.333,Allen Bay Fm,3176.0,,Allen Bay,,,423.7,442.45,750.0,750.0,,0,0
9413,2366,339,1,40685.355,Interlake Fm,953.0,,Interlake,,,423.7,440.5,150.0,0.0,both,0,0
38396,9968,1667,1,11958.725,Upper Road River Fm,1749.0,,Road River,,,423.7,455.6667,800.0,800.0,,9,44
9675,2435,343,1,22995.643,Interlake Fm,953.0,,Interlake,,,423.7,440.5,275.0,0.0,subsurface,0,0
35544,8949,1545,1,7032.232,Allen Bay Fm,3176.0,,Allen Bay,,,423.7,442.45,500.0,500.0,,8,17
38397,9968,1667,1,11958.725,Whittaker Fm,6137.0,,Whittaker,Upper Road River,,423.7,450.0,700.0,700.0,,16,212
2022,311,55,1,8202.507,Fusselman Limestone,3595.0,,Fusselman Limestone,,,423.7,443.1,94.0,33.0,both,0,0
38187,9876,1657,1,30825.119,unnamed,,,,,,423.7,497.85,0.0,0.0,,0,0
35880,9073,1572,1,1965.247,Marvin Fm,9791.0,,Marvin,,,423.7,443.4499,760.0,750.0,,0,0
9663,2430,342,1,36781.879,Interlake Fm,953.0,,Interlake,,,423.7,440.5,300.0,0.0,subsurface,0,0
9544,2397,341,1,39055.152,Interlake Fm,953.0,,Interlake,,,423.7,440.5,350.0,0.0,subsurface,0,0
9532,2392,340,1,21013.658,Interlake Fm,953.0,,Interlake,,,423.7,440.5,300.0,0.0,subsurface,0,0
10744,2833,394,1,23572.426,Unnamed,,,,,,423.7,451.0,0.0,0.0,,0,0
38483,10003,1672,1,25621.615,Whittaker Fm,6137.0,,Whittaker,Upper Road River,,423.7,455.9,250.0,250.0,,9,99
40488,10974,2057,10,172.486,Back Bay Fm,102593.0,,Back Bay,Mascarene,,424.93,445.2,500.0,0.0,,0,0
92,32,6,1,3863.196,Red Mountain Fm,1710.0,,Red Mountain,,,425.7,440.5,180.0,120.0,both,0,0
38217,9888,1658,1,19558.414,unnamed,,,,,,425.7,440.55,530.0,530.0,,0,0
129,44,8,1,4713.695,Red Mountain Fm,1710.0,,Red Mountain,,,425.7,440.5,150.0,60.0,both,0,0
5852,1374,171,1,7606.732,Undifferentiated,,,,,,425.7,443.1,9.0,0.0,subsurface,0,0
34527,8640,1494,1,13944.851,Black Stuart Fm,9642.0,,Black Stuart,,,425.7,451.3,30.0,30.0,,0,0
61,19,4,1,2726.494,Red Mountain Fm,1710.0,,Red Mountain,,,425.7,440.5,100.0,50.0,both,0,0
80,25,5,1,3339.33,Red Mountain Fm,1710.0,,Red Mountain,,,425.7,440.5,214.0,137.0,both,0,0
34189,8488,1480,1,16456.617,Duo Lake,9558.0,,Duo Lake,Road River,,425.7,477.1,300.0,300.0,,0,0
9987,2521,352,1,8972.665,Andrews Fm,39.0,,Andrews,Murphy,,425.7,443.1,600.0,300.0,surface,0,0
161,53,10,1,4813.064,Red Mountain Fm,1710.0,,Red Mountain,,,425.7,440.5,300.0,50.0,surface,0,0
35159,8864,1526,1,10561.693,Allen Bay Fm,3176.0,,Allen Bay,,,425.7,442.45,1110.0,1110.0,,1,2
2651,491,74,1,41760.438,Chimneyhill Dolomite,3906.0,,Chimneyhill Dolomite,Hunton,,425.7,443.1,30.0,0.0,subsurface,0,0
34293,8543,1485,1,22862.604,Askin,8076.0,,,Askin,,425.7,440.55,500.0,100.0,,0,0
9920,2506,349,1,9362.775,Heflin Phyllite,4771.0,,Heflin Phyllite,,,425.7,448.05,4500.0,1500.0,surface,0,0
179,59,11,1,3954.633,Red Mountain Fm,1710.0,,Red Mountain,,,425.7,440.5,400.0,0.0,surface,0,0
10843,2863,400,1,30871.762,Unnamed,,,,,,425.7,479.5375,0.0,0.0,surface,0,0
34934,8793,1515,1,17004.316,Allen Bay Fm,3176.0,,Allen Bay,,,425.7,443.035,150.0,150.0,,0,0
9950,2516,351,1,11136.047,Andrews Fm,39.0,,Andrews,Murphy,,425.7,443.1,600.0,300.0,surface,0,0
42,15,3,1,4133.999,Red Mountain Fm Equivalent,,,,,,425.7,440.5,54.0,29.0,both,1,21
34140,8444,1477,1,28297.518,Road River,9547.0,,,Road River,,425.7,475.2696,130.0,130.0,,1,22
34816,8743,1507,1,13332.67,Allen Bay,3176.0,,Allen Bay,,,426.0334,442.45,300.0,300.0,,0,0
10492,2724,382,1,15253.88,Ripogenus Fm,1743.0,,Ripogenus,,,426.2,440.5,300.0,0.0,surface,0,0
2696,498,75,1,23792.137,Chimneyhill Dolomite,3906.0,,Chimneyhill Dolomite,Hunton,,426.7,443.1,172.0,50.0,subsurface,0,0
6134,1464,188,1,23226.102,Unnamed,,,,,,426.7,443.1,100.0,0.0,both,0,0
19028,5014,631,1,37661.125,White Rock,6135.0,,White Rock,,,426.7,471.3,4602.0,0.0,,0,0
35647,8973,1552,1,6188.042,Danish River Fm,9765.0,,Danish River,,,426.7,443.1,50.0,50.0,,0,0
10455,2711,380,1,8555.544,Clough Quartzite,4633.0,,Clough Quartzite,,,426.7,441.15,50.0,0.0,surface,1,17
35442,8930,1540,1,5660.745,Eetookashoo Bay Fm,9763.0,,Eetookashoo Bay,,,426.7,440.5,100.0,100.0,,0,0
