unit_id,section_id,col_id,project_id,col_area,unit_name,strat_name_id,Mbr,Fm,Gp,SGp,t_age,b_age,max_thick,min_thick,outcrop,pbdb_collections,pbdb_occurrences
13478,3557,456,1,32141.57,Comus Fm,439.0,,Comus,,,456.5,488.2625,1500.0,1100.0,surface,0,0
10522,2729,383,1,12425.948,Unnamed,,,,,,456.6416,475.2696,300.0,0.0,surface,0,0
14087,3734,468,1,21898.732,Pogonip Gp,2616.0,,,Pogonip,,456.789,486.85,270.0,0.0,surface,9,19
33902,8361,1467,1,29414.193,unnamed,,,,,,456.925,491.0875,100.0,100.0,,0,0
37702,9686,1639,1,6418.854,Glenogle Fm,5252.0,,Glenogle,,,457.775,475.2696,400.0,400.0,,0,0
33955,8393,1470,1,31190.615,unnamed,,,,,,457.775,517.95,0.0,0.0,,0,0
22824,6058,796,1,29891.562,Beekmantown,2382.0,,,Beekmantown,,458.2,479.5375,0.0,0.0,,0,0
21866,6432,819,1,16028.022,Gander Lake,5236.0,,,Gander Lake,,458.2,478.7575,0.0,0.0,,0,0
13781,3658,462,1,33541.77,Pogonip Gp,2616.0,,,Pogonip,,458.2,486.85,800.0,0.0,surface,9,17
22822,6066,795,1,35480.465,Beekmantown,2382.0,,,Beekmantown,,458.2,479.5375,0.0,0.0,,0,0
18738,4881,610,1,33211.227,Unnamed,7947.0,,,Quebec,,458.2,503.5,0.0,0.0,,0,0
40522,10994,2065,10,16486.373,Riviere-Ouelle,101119.0,,Rivière Ouelle,,,458.2,477.1,250.0,0.0,,0,0
16888,4324,527,1,24836.43,Unnamed,,,,,,458.2,538.8,0.0,0.0,,0,0
41268,11363,2174,10,3051.954,Unnamed 2,,,,,,458.2,486.85,0.0,0.0,,0,0
13996,3712,466,1,18636.381,Pogonip Gp,2616.0,,,Pogonip,,458.2,486.85,1000.0,0.0,surface,2,21
19069,5033,634,1,21872.383,Cape Rosier,4998.0,,Cape Rosier,Quebec,,458.2,497.85,305.0,0.0,,0,0
38352,9952,1665,1,10492.648,Duo Fm,10160.0,,Duo,Upper Road River,,458.775,479.5375,1000.0,1000.0,,0,0
21838,5956,816,1,80906.789,Northwest Arm,5686.0,,Northwest Arm,,,458.775,478.7575,183.0,0.0,,0,0
34997,8813,1519,1,42913.371,Ibbett Bay Fm,5367.0,,Ibbett Bay,,,458.775,475.2696,90.0,60.0,,0,0
184,60,11,1,3954.633,Newala Limestone of Knox Gp,6882.0,,Newala Limestone,Knox,,458.867,477.1,100.0,0.0,surface,0,0
18656,4842,817,1,4614.973,Canada Head,8029.0,,,Canada Head,,459.925,515.726,0.0,2000.0,,0,0
37685,9679,1638,1,9258.513,Glenogle Fm,5252.0,,Glenogle,,,459.925,479.5375,300.0,300.0,,1,6
18618,4827,601,1,9771.407,Baie Verte,4846.0,,Baie Verte,,,460.5,486.85,3000.0,0.0,,0,0
18737,4881,610,1,33211.227,Unnamed,7947.0,,,Quebec,,460.5,501.0,0.0,0.0,,0,0
35977,9103,1582,1,48008.398,Wandel Valley Fm,9845.0,,Wandel Valley,,,460.5,477.1,400.0,320.0,,0,0
35155,8861,1526,1,10561.693,Bay Fiord Fm,4866.0,,Bay Fiord,Cornwallis,,460.5,478.075,520.0,520.0,,0,0
22861,6425,600,1,7412.008,Wild Bight,6141.0,,Wild Bight,,,460.5,486.85,4572.0,0.0,,0,0
35634,8969,1550,1,9960.218,Bulleys Lump Fm,9768.0,,Bulleys Lump,,,460.5,478.7251,1600.0,1600.0,,0,0
21858,6426,818,1,8891.328,Wild Bight,8034.0,,,Wild Bight,,460.5,486.85,4572.0,0.0,,0,0
41418,11435,2139,10,11243.411,Swan Peak,73851.0,,Swan Peak,,,460.6,473.725,240.0,0.0,,0,0
18587,4809,597,1,8540.853,Caldwell,4972.0,,Caldwell,,,460.625,501.0,0.0,0.0,,0,0
18537,4785,593,1,3915.152,Brompton,4945.0,,Brompton,,,460.625,499.95,0.0,0.0,,0,0
33475,8112,1442,1,14164.106,unnamed,,,,,,461.125,499.95,0.0,0.0,,0,0
18828,4926,618,1,5250.546,Blow-me Down Brook,4948.0,,Blow-me Down Brook,,,461.35,477.1,488.0,244.0,,0,0
18847,4935,619,1,5369.613,Cow Head,8010.0,,,Cow Head,,461.75,503.5,500.0,300.0,,103,2540
35990,9108,1583,1,103128.883,Wandel Valley Fm,9845.0,,Wandel Valley,,,461.75,477.1,420.0,420.0,,0,0
18551,4792,594,1,5411.847,Ascot,4824.0,,Ascot,,,461.75,501.0,0.0,0.0,,0,0
33476,8112,1442,1,14164.106,unnamed,,,,,,461.75,493.2167,2000.0,2000.0,,0,0
7870,2028,301,1,12044.353,Rockdale Run Fm,1758.0,,Rockdale Run,Beekmantown,,462.55,474.6596,757.0,0.0,surface,0,0
5400,6329,810,1,3479.233,Rockdale Run Fm,1758.0,,Rockdale Run,Beekmantown,,462.55,479.5375,1065.0,610.0,surface,0,0
13905,3695,465,1,22986.613,Pogonip Gp,2616.0,,,Pogonip,,464.0,484.4125,1100.0,500.0,surface,21,186
14174,3763,471,1,14877.405,Chokecherry Fm of Pogonip Gp,7314.0,,Chokecherry,Pogonip,,464.0,484.4125,500.0,0.0,surface,0,0
10712,2815,393,1,136570.234,Unnamed,,,,,,464.0,477.1,0.0,0.0,,0,0
1493,183,808,1,5946.763,Beekmantown Fm of Knox Gp,7308.0,,Beekmantown,Knox,,464.25,484.4125,762.0,100.0,surface,0,0
34308,8570,1486,1,13116.793,Road River,9547.0,,,Road River,,464.25,475.2696,50.0,50.0,,0,0
34870,8770,1511,1,227446.609,Ship Point Fm,5907.0,,Ship Point,,,464.7223,477.1,100.0,100.0,,0,0
17209,4392,535,1,11540.735,Undifferentiated,,,,,,464.7223,486.85,166.0,0.0,subsurface,0,0
11196,3024,322,1,111482.031,Unnamed,,,,,,464.7223,484.4125,0.0,0.0,,0,0
19172,5068,641,1,17542.797,Maquereau,5534.0,,Maquereau,,,464.8867,501.0,7925.0,0.0,,0,0
41445,11442,2140,10,2647.053,Garden City,70805.0,,Garden City,,,464.975,486.85,1200.0,0.0,,0,0
41620,11891,2180,10,39188.895,Amundsen Land Group,9857.0,,,Amundsen Land,,464.975,501.0,0.0,0.0,,0,0
34880,8776,1512,1,44421.844,Eleanor River Fm,5161.0,,Eleanor River,,,465.5,478.7251,200.0,200.0,,0,0
34564,8650,1496,1,9518.608,Index,8256.0,,Index,Lardeau,,465.5,515.6334,762.0,457.0,,0,0
37723,9692,1640,1,14987.971,Glenogle Fm,5252.0,,Glenogle,,,465.5,475.2696,0.0,0.0,,0,0
