experiment,stage,time_yr,pft,biomass_molC_per_m3_areamean
size_effect,baseline,49.5,48,0.023092499002814293
size_effect,baseline,49.5,49,0.026797080412507057
size_effect,baseline,49.5,50,0.030512243509292603
size_effect,baseline,49.5,51,0.03417528420686722
size_effect,baseline,49.5,52,0.037796683609485626
size_effect,baseline,49.5,53,0.04140107333660126
size_effect,baseline,49.5,54,0.045031771063804626
size_effect,baseline,49.5,55,0.04865700751543045
size_effect,baseline,49.5,56,0.05187658965587616
size_effect,baseline,49.5,57,0.050929322838783264
size_effect,baseline,49.5,58,0.05164382979273796
size_effect,baseline,49.5,59,0.0504891537129879
size_effect,baseline,49.5,60,0.04853552207350731
size_effect,baseline,49.5,61,0.04480917006731033
size_effect,baseline,49.5,62,0.038447171449661255
size_effect,baseline,49.5,63,0.0304587222635746
size_effect,baseline,49.5,64,0.016577186062932014
size_effect,baseline,49.5,65,6.552249621507005e-15
size_effect,baseline,49.5,66,3.9719160442206955e-14
size_effect,baseline,49.5,67,1.1451813618484213e-13
size_effect,baseline,49.5,68,3.141891315259354e-13
size_effect,baseline,49.5,69,8.163274201576642e-13
size_effect,baseline,49.5,70,4.541964460785808e-12
size_effect,baseline,49.5,71,1.666555088375432e-11
size_effect,baseline,49.5,72,0.00020603656594175845
size_effect,baseline,49.5,73,0.0017881460953503847
size_effect,baseline,49.5,74,0.007487857714295387
size_effect,baseline,49.5,75,0.017680002376437187
size_effect,baseline,49.5,76,0.02487456239759922
size_effect,baseline,49.5,77,0.025943391025066376
size_effect,baseline,49.5,78,0.02521594427525997
size_effect,baseline,49.5,79,0.023449983447790146
size_effect,baseline,49.5,80,0.021260995417833328
size_effect,baseline,49.5,81,0.019109364598989487
size_effect,baseline,49.5,82,0.017311381176114082
size_effect,baseline,49.5,83,0.015787828713655472
size_effect,baseline,49.5,84,0.014471898786723614
size_effect,baseline,49.5,85,0.013229620642960072
size_effect,baseline,49.5,86,0.011933223344385624
size_effect,baseline,49.5,87,0.010579613968729973
size_effect,baseline,49.5,88,0.009132258594036102
size_effect,baseline,49.5,89,0.007664298173040152
size_effect,baseline,49.5,90,0.005917240399867296
size_effect,baseline,49.5,91,0.0042373547330498695
size_effect,baseline,49.5,92,0.0029539798852056265
size_effect,baseline,49.5,93,0.0019170644227415323
size_effect,baseline,49.5,94,0.0011065314756706357
size_effect,baseline,49.5,95,0.0005859971861355007
size_effect,baseline,49.5,96,0.0002920750412158668
size_effect,baseline,49.5,97,0.005958183202892542
size_effect,baseline,49.5,98,0.005158784333616495
size_effect,baseline,49.5,99,0.0040854779072105885
size_effect,baseline,49.5,100,0.002229851670563221
size_effect,baseline,49.5,101,0.0009288440924137831
size_effect,baseline,49.5,102,0.00024352878972422332
size_effect,baseline,49.5,103,3.293101326562464e-05
size_effect,baseline,49.5,104,1.8916532553703291e-06
size_effect,baseline,49.5,105,3.5853390727424994e-06
size_effect,baseline,49.5,106,1.5666706531192176e-05
size_effect,baseline,49.5,107,0.0003862059093080461
size_effect,baseline,49.5,108,0.002978577045723796
size_effect,baseline,49.5,109,0.00816368218511343
size_effect,baseline,49.5,110,0.01261208951473236
size_effect,baseline,49.5,111,0.010989653877913952
size_effect,baseline,49.5,112,0.0032783097121864557
size_effect,post_impact,199.5,1,3.4556776373026075e-16
size_effect,post_impact,199.5,2,8.380909220740904e-14
size_effect,post_impact,199.5,3,2.1632568241065908e-13
size_effect,post_impact,199.5,4,4.984025887312671e-13
size_effect,post_impact,199.5,5,1.8334782476980838e-12
size_effect,post_impact,199.5,6,0.0004182765551377088
size_effect,post_impact,199.5,7,0.0037292735651135445
size_effect,post_impact,199.5,8,0.0176011361181736
size_effect,post_impact,199.5,9,0.02716653235256672
size_effect,post_impact,199.5,10,0.05021044239401817
size_effect,post_impact,199.5,11,0.07921077311038971
size_effect,post_impact,199.5,12,0.0013523729285225272
size_effect,post_impact,199.5,13,5.032307104119345e-14
size_effect,post_impact,199.5,14,5.513337453678241e-14
size_effect,post_impact,199.5,15,5.520024948203403e-14
size_effect,post_impact,199.5,16,5.5123081392407375e-14
size_effect,post_impact,199.5,17,5.497040878586247e-14
size_effect,post_impact,199.5,18,5.421497059339246e-14
size_effect,post_impact,199.5,19,5.1837362662976796e-14
size_effect,post_impact,199.5,20,4.8647602602074763e-14
size_effect,post_impact,199.5,21,4.4308174886259835e-14
size_effect,post_impact,199.5,22,3.697122631911992e-14
size_effect,post_impact,199.5,23,2.934116369464855e-14
size_effect,post_impact,199.5,24,2.19365422772207e-14
size_effect,post_impact,199.5,25,1.5619407826047808e-14
size_effect,post_impact,199.5,26,1.2270495356554376e-14
size_effect,post_impact,199.5,27,1.0493804786172907e-14
size_effect,post_impact,199.5,28,1.0461797105162061e-14
size_effect,post_impact,199.5,29,1.0689243239191733e-14
size_effect,post_impact,199.5,30,1.0950312346062665e-14
size_effect,post_impact,199.5,31,1.120403513618206e-14
size_effect,post_impact,199.5,32,1.1437995800609065e-14
size_effect,post_impact,199.5,33,8.899345307580202e-16
size_effect,post_impact,199.5,34,6.0374375607352704e-05
size_effect,post_impact,199.5,35,0.00023410494031850249
size_effect,post_impact,199.5,36,0.0021724216639995575
size_effect,post_impact,199.5,37,0.004973889794200659
size_effect,post_impact,199.5,38,0.000748568563722074
size_effect,post_impact,199.5,39,1.5611042528660725e-14
size_effect,post_impact,199.5,40,2.1179991083458e-14
size_effect,post_impact,199.5,41,3.5159378799229715e-14
size_effect,post_impact,199.5,42,5.047777652681176e-14
size_effect,post_impact,199.5,43,5.546133552956391e-14
size_effect,post_impact,199.5,44,5.5537290668010095e-14
size_effect,post_impact,199.5,45,5.558012681821864e-14
size_effect,post_impact,199.5,46,5.5523019856914754e-14
size_effect,post_impact,199.5,47,5.5441762292218755e-14
size_effect,post_impact,199.5,48,5.533832940496364e-14
size_effect,post_impact,199.5,49,5.5309316832454283e-14
size_effect,post_impact,199.5,50,5.5268869315156996e-14
size_effect,post_impact,199.5,51,5.522120168901731e-14
size_effect,post_impact,199.5,52,5.521131850858875e-14
size_effect,post_impact,199.5,53,5.521139304748811e-14
size_effect,post_impact,199.5,54,5.508035705054787e-14
size_effect,post_impact,199.5,55,5.501559968766438e-14
size_effect,post_impact,199.5,56,5.4852325616751643e-14
size_effect,post_impact,199.5,57,5.3737321938172183e-14
size_effect,post_impact,199.5,58,5.304281929592765e-14
size_effect,post_impact,199.5,59,5.1541995498005644e-14
size_effect,post_impact,199.5,60,4.9780075488158396e-14
size_effect,post_impact,199.5,61,4.6695113731622453e-14
size_effect,post_impact,199.5,62,4.2792799062304e-14
size_effect,post_impact,199.5,63,3.814115161399935e-14
size_effect,post_impact,199.5,64,3.2064479652156586e-14
size_effect,post_impact,199.5,65,6.634843486556417e-16
size_effect,post_impact,199.5,66,2.5259167926229044e-14
size_effect,post_impact,199.5,67,2.0465768836575027e-13
size_effect,post_impact,199.5,68,1.5690027402315287e-12
size_effect,post_impact,199.5,69,8.883645555290975e-12
size_effect,post_impact,199.5,70,0.0003888274368364364
size_effect,post_impact,199.5,71,0.005737571977078915
size_effect,post_impact,199.5,72,0.02012062259018421
size_effect,post_impact,199.5,73,0.055053893476724625
size_effect,post_impact,199.5,74,0.11763835698366165
size_effect,post_impact,199.5,75,0.38947683572769165
size_effect,post_impact,199.5,76,0.0007055358728393912
size_effect,post_impact,199.5,77,5.5327206168300294e-14
size_effect,post_impact,199.5,78,5.5284763041379276e-14
size_effect,post_impact,199.5,79,5.524793066070087e-14
size_effect,post_impact,199.5,80,5.519255503474117e-14
size_effect,post_impact,199.5,81,5.516716098698249e-14
size_effect,post_impact,199.5,82,5.513863630545075e-14
size_effect,post_impact,199.5,83,5.498519459298974e-14
size_effect,post_impact,199.5,84,5.488464839401887e-14
size_effect,post_impact,199.5,85,5.4645029549504204e-14
size_effect,post_impact,199.5,86,5.395673396469715e-14
size_effect,post_impact,199.5,87,5.2277087959082605e-14
size_effect,post_impact,199.5,88,5.021601624105587e-14
size_effect,post_impact,199.5,89,4.754418972234553e-14
size_effect,post_impact,199.5,90,4.359740582329623e-14
size_effect,post_impact,199.5,91,3.995447297121778e-14
size_effect,post_impact,199.5,92,3.6092456741397896e-14
size_effect,post_impact,199.5,93,3.2728736441920564e-14
size_effect,post_impact,199.5,94,2.9754739389606724e-14
size_effect,post_impact,199.5,95,2.7482495581565916e-14
size_effect,post_impact,199.5,96,2.6434053446047594e-14
size_effect,post_impact,199.5,97,3.6689587864157866e-14
size_effect,post_impact,199.5,98,3.460042514546839e-14
size_effect,post_impact,199.5,99,3.2474145443030233e-14
size_effect,post_impact,199.5,100,2.9390823542280176e-14
size_effect,post_impact,199.5,101,2.63268190749252e-14
size_effect,post_impact,199.5,102,2.3652927489889453e-14
size_effect,post_impact,199.5,103,2.2282162212886557e-14
size_effect,post_impact,199.5,104,2.2072331823060932e-14
size_effect,post_impact,199.5,105,2.328342054748467e-13
size_effect,post_impact,199.5,106,8.575087796953984e-13
size_effect,post_impact,199.5,107,4.3775811968405076e-13
size_effect,post_impact,199.5,108,3.9423054664505797e-14
size_effect,post_impact,199.5,109,3.491615159435975e-14
size_effect,post_impact,199.5,110,3.3736969923432725e-14
size_effect,post_impact,199.5,111,3.1536788290412524e-14
size_effect,post_impact,199.5,112,2.6500545532407056e-14
