name,latitude,longitude,deposit_type,deposit_subtype,age_ma,age_method,tonnage_mt,cu_pct,mo_pct,au_g_t,major_commodities,state_prov,country,reference
Rosemont-Helvetia,31.83,-110.76,Porphyry copper,,59.0,unknown,952.0,0.552,0.0055,0.019,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Esperanza-Sierrita,31.870466718,-111.134582473,Porphyry copper,Cu-Mo,55.0,unknown,2262.0,0.294,0.0292,0.003,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Twin Buttes,31.892777778,-111.035277778,Porphyry copper,Cu-Mo,58.0,unknown,940.0,0.502,0.023,0.019,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Dynamite,31.922090277,-111.057083304,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Mission-Pima,31.988862697,-111.067493527,Porphyry copper,,58.0,unknown,900.0,0.52,0.015,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Dragoon,32.017587827,-110.051144142,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
San Xavier North,32.027730394,-111.080365201,Porphyry copper,,56.0,unknown,208.0,0.54,-9999.0,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Gunnison,32.083082568,-110.035221819,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Johnson Camp,32.098611111,-110.065,Porphyry copper,,53.0,unknown,250.0,0.489,0.011,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Steins,32.183448979,-109.021870122,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,New Mexico,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Lordsburg,32.312046351,-108.753279011,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,New Mexico,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Ajo,32.356944444,-112.865277778,Porphyry copper,,63.0,unknown,742.0,0.576,0.0089,0.16,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Korn Kob,32.385239821,-110.577235222,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Silver Bell,32.403618415,-111.524878178,Porphyry copper,Cu-Mo,68.0,unknown,268.0,0.66,0.013,0.026,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
SOL,32.436659048,-106.586756075,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,New Mexico,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Orogrande,32.444424348,-106.117400245,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,New Mexico,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Oracle Ridge,32.477529998,-110.722151102,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Lakeshore,32.523888889,-111.904722222,Porphyry copper,,66.0,unknown,716.7,0.657,-9999.0,0.17,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Gold Lake,32.553041618,-108.331112552,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,New Mexico,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Vekol Hills,32.582201179,-112.059914464,Porphyry copper,,-9999.0,not dated,95.0,0.56,0.014,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Tyrone,32.644006002,-108.372292898,Porphyry copper,Cu-Mo,54.0,Ar-Ar(?),1050.0,0.49,0.013,0.0015,Cu,New Mexico,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
San Manuel-Kalamazoo,32.699722222,-110.677777778,Porphyry copper,Cu-Mo,68.0,unknown,1390.0,0.6,0.011,0.017,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Lone Mountain,32.718437905,-108.17713408,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,New Mexico,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Copper Creek,32.75,-110.48,Porphyry copper,,58.0,unknown,75.3,0.75,0.0046,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Chino,32.792615936,-108.070219143,Porphyry copper,,56.0,unknown,3030.0,0.468,0.008,0.56,Cu,New Mexico,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Hanover Mountain,32.846388889,-108.090555556,Porphyry copper,,64.0,unknown,1406.0,0.34,-9999.0,0.01,Cu,New Mexico,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Sanchez,32.883360061,-109.546223363,Porphyry copper,Cu-Au,-9999.0,not dated,173.0,0.317,-9999.0,0.34,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Casa Grande West,32.897250182,-111.880544616,Porphyry copper,Cu-Mo,68.0,unknown,1450.0,0.588,0.008,0.011,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Safford,32.946351777,-109.628261431,Porphyry copper,Cu-Au,48.0,K-Ar,7260.0,0.441,0.004,0.17,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Sacaton,32.954722222,-111.816111111,Porphyry copper,,63.0,unknown,48.6,0.72,0.014,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Copper Flat,32.970323784,-107.53391547,Porphyry copper,,75.0,unknown,61.7,0.36,0.0128,0.18,Cu,New Mexico,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Red Hills,33.036111111,-111.216111111,Porphyry copper,,65.0,unknown,453.5,0.1,-9999.0,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Poston Butte,33.037685528,-111.429555982,Porphyry copper,,62.0,unknown,726.0,0.38,-9999.0,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Christmas,33.06,-110.745277778,Porphyry copper,,64.0,unknown,48.1,1.1,-9999.0,0.01,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Chilito,33.065277778,-110.796111111,Porphyry copper,,-9999.0,not dated,199.0,0.3,-9999.0,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Morenci-Metcalf,33.103611111,-109.361111111,Porphyry copper,Cu-Mo,56.0,unknown,6470.0,0.524,0.0095,0.028,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Mineral Butte,33.11,-111.58,Porphyry copper,,70.0,unknown,13.0,0.4,-9999.0,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Buckeye East,33.136650179,-111.090715383,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Copper Butte,33.147680624,-111.063019868,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Ray,33.163611111,-110.983055556,Porphyry copper,,69.0,unknown,1583.0,0.68,0.001,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Resolution,33.292903237,-111.051738235,Porphyry copper,,64.0,unknown,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Superior East,33.32730338,-111.01913652,Porphyry copper,,60.0,unknown,996.0,0.498,-9999.0,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Gibson,33.332849536,-110.94352104,Porphyry copper,,61.0,unknown,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Morgan Peak,33.33614169,-110.902070451,Porphyry copper,,61.0,unknown,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Miami-Inspiration,33.408255012,-110.875399558,Porphyry copper,Cu-Mo,64.0,unknown,1591.0,0.63,0.01,0.009,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Castle Dome,33.413278156,-110.963403283,Porphyry copper,,59.0,unknown,1438.0,0.33,0.0055,0.034,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Mudpuppy-Waterdog,33.475622232,-105.740554157,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Au",New Mexico,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Stray Elephant,33.64134844,-114.37016718,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Sheep Mountain,34.038187022,-112.354070364,Porphyry copper,,-9999.0,not dated,318.0,0.99,-9999.0,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Swansea,34.168776131,-113.841167746,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Zonia,34.301730389,-112.632582808,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Pine Flat,34.368888889,-112.351944444,Porphyry copper,,-9999.0,not dated,25.0,0.36,0.008,0.17,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Squaw Peak,34.480277778,-111.865277778,Porphyry copper,,-9999.0,not dated,18.0,0.4,-9999.0,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Copper Basin,34.490644226,-112.58788475,Porphyry copper,,64.0,unknown,228.0,0.4,0.0145,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Bagdad,34.585833333,-113.211944444,Porphyry copper,Cu-Mo,71.8,Re-Os,1600.0,0.4,0.01,0.0011,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Kabba,35.09438003,-113.723210713,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Cunningham Gulch,35.338355541,-106.136074196,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,New Mexico,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Ithaca Peak,35.362350767,-114.142649426,Porphyry copper,Cu-Mo,73.0,unknown,876.5,0.143,0.035,0.027,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Emerald Isle,35.362533814,-114.191797936,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Cerrillos,35.478810207,-106.122164115,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,New Mexico,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Crescent Peak,35.483333333,-115.133333333,Porphyry copper,,94.0,K-Ar,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Nevada,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Allard,37.406944444,-108.088055556,Porphyry copper,,68.0,unknown,200.0,0.4,-9999.0,-9999.0,Cu,Colorado,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Summitville,37.423058844,-106.596726409,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Colorado,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Red Mountain,37.911160117,-107.672407526,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Colorado,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
The Blowout,38.040598193,-107.670406769,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Colorado,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Royston,38.333333333,-117.5,Porphyry copper,,207.0,unknown,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Nevada,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
OK,38.480555556,-113.299722222,Porphyry copper,,28.0,unknown,10.0,0.5,0.023,-9999.0,Cu,Utah,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
SFS,38.491944444,-118.075,Porphyry copper,,105.0,unknown,159.0,0.46,-9999.0,-9999.0,Cu,Nevada,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Tomichi,38.5667,-106.3702,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Colorado,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Red Hills,38.616666667,-118.433333333,Porphyry copper,,105.0,unknown,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Nevada,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Sullivan,38.78,-117.95,Porphyry copper,Cu-Au,81.0,unknown,23.1,0.33,-9999.0,0.58,"Cu, Au, Ag",Nevada,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Bounder,38.861243379,-118.449326344,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Nevada,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Ellison,38.90523257,-114.926198526,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Nevada,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Ann Mason,38.96,-119.27,Porphyry copper,,169.0,unknown,2250.0,0.29,0.005,0.025,"Cu, Mo",Nevada,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Yerington,38.98,-119.2,Porphyry copper,,167.0,unknown,928.0,0.514,-9999.0,0.046,Cu,Nevada,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Paradise Basin,38.990736572,-107.060376599,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Colorado,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Buckskin,38.992590125,-119.353627422,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Nevada,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Bear-Lagomarsino,39.03,-119.18,Porphyry copper,,-9999.0,not dated,454.0,0.4,-9999.0,-9999.0,Cu,Nevada,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
MacArthur,39.05,-119.24,Porphyry copper,,161.0,unknown,88.0,0.21,-9999.0,-9999.0,Cu,Nevada,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Afterthought,39.165060184,-118.778148546,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Nevada,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Monte Cristo,39.239502775,-115.568690389,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Nevada,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Ely,39.26,-114.999444444,Porphyry copper,,110.0,unknown,754.0,0.613,0.01,0.27,Cu,Nevada,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Timberline Lake,39.29515359,-106.473450508,Porphyry copper,,36.0,K-Ar,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Colorado,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Butte Valley,39.8,-115.15,Porphyry copper,,-9999.0,not dated,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Nevada,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Southwest Tintic,39.858055556,-112.125,Porphyry copper,,36.0,unknown,559.0,0.28,0.01,-9999.0,Cu,Utah,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Lights Creek,40.195,-120.853888889,Porphyry copper,,100.0,unknown,318.0,0.34,-9999.0,0.05,Cu,California,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Kennedy,40.266666667,-117.75,Porphyry copper,,29.0,unknown,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Nevada,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
A-O,40.323874616,-106.248672142,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Colorado,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Victoria,40.328557402,-114.551574696,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Nevada,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
