present_lon,present_lat,age (Ma),subducted_carbonates_volume (m),carbonate_thickness (m),convergence_obliquity (degrees),convergence_rate (cm/yr),convergence_rate_parallel (cm/yr),crustal_thickness_mean (m),Prospectivity Score,deposit,mineralization_age
-109.80621602476543,32.78342800450878,43,291.5074,96.14375,-14.312692091120082,9.00931146768994,-2.227224878606876,43344.19140625,0.09663047,Safford,48.0
-109.57831829356928,32.766312422449985,44,265.82648,104.76331,-15.315469431951826,9.299115344371357,-2.4562075446371754,43026.0078125,0.06126591,Safford,48.0
-109.68497550681056,33.18373310565621,46,130.72878,0.0,-15.90324819219377,9.071094816025637,-2.4856046250735213,40191.546875,0.0024809996,Safford,48.0
-109.72313221914924,33.08326286020539,48,81.888214,40.503258,-8.572815334713011,12.448883920530996,-1.8557078126027355,42570.7109375,0.044038348,Safford,48.0
-109.4864608388717,32.823816644614084,49,67.41355,31.67915,-10.366030447270113,11.86049164441818,-2.134129106342934,44612.68359375,0.21862791,Safford,48.0
-109.81459344879512,33.00725545013425,50,164.094,10.960956,-13.352298975103048,10.502226352903792,-2.4253626086282147,45358.4140625,0.6753504,Safford,48.0
-109.70168688629757,32.83275352439417,51,303.36932,22.280294,-14.291209981727825,10.488256366502998,-2.5890297392349626,46764.390625,0.94361633,Safford,48.0
-109.67727565511828,33.15594103194927,52,223.20448,21.361496,-8.440447981975932,12.583285356543898,-1.8469918557159823,46779.95703125,0.72887444,Safford,48.0
-109.56973938965412,32.98724096571358,53,351.74387,24.996096,-3.611390531206028,15.633747011969392,-0.9847529691191154,48445.0,0.9522856,Safford,48.0
-109.4636048978642,32.82162902112943,54,431.50473,35.958057,-3.540329572306573,16.308557111033675,-1.0070712642217088,44738.1328125,0.62639904,Safford,48.0
-109.82014732594764,32.94084208732417,56,318.1461,57.280144,-13.751410181319445,10.285400126057962,-2.444940398898356,45720.16796875,0.8046647,Safford,48.0
-109.65219845115196,32.94389157392324,57,851.14166,72.37794,-17.372266228111055,9.658871285910765,-2.883934790735979,45252.16796875,0.8677494,Safford,48.0
-109.48485625960502,32.94915631042876,58,1631.3933,772.0204,-18.82591751979452,9.388381297557595,-3.0295731437317923,45417.1640625,0.99764067,Safford,48.0
-109.78963513378004,32.88673377610264,59,530.52356,80.0844,-19.322544555293103,9.402629974087429,-3.111196090596501,46490.21484375,0.9835486,Safford,48.0
-109.62328010675508,32.89525484071398,60,469.62296,101.14596,-19.84722205249465,9.403500119330268,-3.1926129856257863,46080.37109375,0.99955976,Safford,48.0
-109.5340831151213,32.89588471372343,61,539.97144,89.00383,-9.258538666557332,11.854181126989465,-1.9072150971293824,46266.93359375,0.9971847,Safford,48.0
-109.82776729556583,32.82886744434453,63,372.15488,97.86367,-5.767630648776319,13.15640323976183,-1.3221425010923198,47501.76171875,0.9961986,Safford,48.0
-109.74011198172651,32.83426493696996,64,488.9513,94.666824,-6.341409195433067,13.150351427843486,-1.4524910925075425,47575.9375,0.9963051,Safford,48.0
-109.65303879579214,32.84163341414823,65,438.2399,89.295166,-9.62833038747573,12.149897685996573,-2.0321464520578663,47609.9375,0.9984488,Safford,48.0
-109.56754304280815,32.85019718718327,66,299.23062,80.80707,-10.259507911592168,12.143834220851785,-2.1628999267687155,47686.44140625,0.9477846,Safford,48.0
