RefNo,ResultNo,RockName,Year,Authors,Title,Journal,Volume,Pages,Continent,RockType,LowAge,HighAge,LoMagAge,HiMagAge,SLat,SLon,PLat,PLon,DP,DM,Dec,Inc,K,A95,B,N,QSUM,Q1,Q2,Q3,Q4,Q5,Q6,Q7,RSUM,R1,R2,R3,R4,R5,R6,R7,Component,Tests,Tilt,PType,DemagCode,Treatment,Method,Terrane,StratAge,RLat,RLon,Comments
4375,10306,Rio Perdido Dykes,2024,"D'Agrella-Filho, M.S., Bellon, U.D., Ribeiro, B.V., Teixeira, W., Trindade, R.I.F., Ruiz, A.S.",Paleomagnetism of the Rio Perdido mafic dike swarm (1110 Ma) and the paleogeography of Amazonia and its role for supercontinents Rodinia and Gondwana,Precambrian Res.,405,107347,South America,intrusives,1109,1113,1109,1113,-21.7,-57.4,34.8,17.3,10.9,10.9,51.8,-0.8,9.3,13.9,14,,4,1,0,1,1,0,0,1,4,1,0,1,1,0,0,1,,"C+,R-",0,V,4,AT,U-Pb(b),Amazonia,MP,-21.7,-57.4,40 degrees cut-off applied
4443,10395,Jialazi Formation,2024,"Ma, X., Li, Y., Tan, X., Li, S., Cheng, J., Li, Z., Huang, S.","A paleomagnetic study of the late Paleocene sedimentary succession in the Xigaze forearc basin, Southern Tibet, and its tectonic implications",J.Asian Earth Sci.,275,106277,Asia,"sediments, limestones, sandstones",56,59,56,59,29.8,84.9,75.3,323.4,3.7,3.7,166.6,-38.2,12.1,4.1,109,109,5,1,1,1,1,0,0,1,4,1,0,1,1,0,0,1,Combined result,F+,100,V,4,AT,"fossils, detrital zircons",Lhasa,E1,29.8,84.9,RESULTNOs 10393 and 10394 (after 130-degrees CW rotation) combined
4406,10345,Rogaland Igneous Complex Combined,2024,"Brown, L.L., McEnroe, S.A., Robinson, P.","The last gasp of the Rogaland Igneous Complex, Norway: a palaeopole for the 920 Ma Tellnes intrusion",Geophys.J.Int.,238,15-32,Europe,intrusives,920,940,890,920,58.3,6,35.6,35.1,4.2,4.2,307.8,-75.1,28,2.6,111,607,4,0,1,1,0,1,0,1,4,0,1,1,0,1,0,1,Thermochemical,C*o,0,V,4,AT,"U-Pb(z), 40Ar/39Ar, correlation",,NP1,58.3,6,"RESULTNOS 9072, 9570 included"
4402,10339,Butajira Volcanics,2024,"Mulugeta, N., Kidane, T., Nugsse, K., Fufa, G., Tadessa, D., Muluneh, A.A.","Paleomagnetic evidence of early Pleistocene counterclockwise rotation in the Butajira volcanic zone, central Main Ethiopian rift",J.Afr.Earth Sci.,216,105326,Africa,extrusives,1,3,1,3,8.1,38.5,84.6,273.3,5.4,5.4,355.7,9.9,22.9,7.3,19,175,5,1,1,1,0,1,0,1,5,1,1,1,0,1,0,1,HS,Ro,100,V,4,AT,correlation,,N3,8.1,38.5,
4331,10255,Gwalior Sills Combined,2024,"Meert, J.G., Miller, S.R., Pivarunas, A., Pandit, M.K., Mueller, P., Sinha, A.K., Kamenov, G., Kwafo, S., Singha, A.","Paleomagnetism and geochronology of the Gwalior Sills, Bundelkhand craton, Northern India Block: New constraints on Greater India assembly",Gondwana Res.,125,29-48,Asia,intrusives,1712,1756,1712,1756,26.15,78.15,13.5,173.7,3.6,3.6,75.5,2.2,,,7,116,5,1,1,1,0,1,0,1,4,0,1,1,0,1,0,1,,Co,0,V,4,AT,U-Pb(b),Bundelkhand Craton,PP,26.15,78.15,"Includes RESULTNOS 2046, 3584 and some data from REFNOS 253, 3727, 3878"
4331,10254,Gwalior Sills,2024,"Meert, J.G., Miller, S.R., Pivarunas, A., Pandit, M.K., Mueller, P., Sinha, A.K., Kamenov, G., Kwafo, S., Singha, A.","Paleomagnetism and geochronology of the Gwalior Sills, Bundelkhand craton, Northern India Block: New constraints on Greater India assembly",Gondwana Res.,125,29-48,Asia,intrusives,1712,1726,1712,1726,26.15,78.15,18.4,175.2,8.6,8.6,70.4,3.8,,,4,30,4,1,0,1,0,1,0,1,4,1,0,1,0,1,0,1,,Co,0,V,4,AT,U-Pb(b),Bundelkhand Craton,PP,26.15,78.15,
4439,10390,Kayemravaam and Kovalenko Suites,2024,"Lhuillier, F., Lebedev, I. E., Tikhomirov, P. L., Pavlov, V. E.",High-latitude geomagnetic secular variation at the end of the Cretaceous Normal Superchron recorded by volcanic flows from the Okhotsk-Chukotka Volcanic Belt,J.Geophys.Res.Solid Earth,129,e2023JB027550,Asia,extrusives,84,89,84,89,66.9,170,76.8,170,5.2,5.2,0.4,84.6,46.2,2.8,57,57,4,1,1,1,0,0,0,1,4,1,1,1,0,0,0,1,,Fo,100,V,4,AT,U-Pb(z),Chukotka,K2,66.9,170,
4438,10389,Zhela Formation,2024,"Bian, W., Yang, T., Ding, J., Ma, Y., Peng, W., Wang, S., Jiao, X., Ma, J., Liang, J., Jin, J., Li, H., Wu, H., Zhang, S.",Paleomagnetic constraints on the link between the Comei-Bunbury large igneous province and the Kerguelen mantle plume,Gondwana Res.,134,30-47,Asia,extrusives,140,147,140,147,28.4,91.8,21.6,130.2,12,12,87.8,70,26.7,6.8,18,152,6,1,1,1,1,0,1,1,6,1,1,1,1,0,1,1,,"F+,Rc",100,V,4,AT,U-Pb(z),Tethyan Himalaya,K1,28.4,91.8,
4430,10374,Niubao Formation,2024,"Li, S., Han, Z., Li, Y., Tan, X., Todrani, A., Ma, X., Li, Z., Wang, X., Dai, J., Wang, C.",Magnetostratigraphy of the Niubao Formation in the Bangong‐Nujiang Suture Zone: constraints on the amount of crustal shortening of the Tibetan Plateau since 60 Ma,Geophys.Res.Lett.,51,e2024GL111729,Asia,sediments,48,60,48,60,32,88.5,74.2,250.2,1.3,2.4,4.9,32.4,7.3,2.1,,730,5,1,0,1,1,0,1,1,4,1,0,0,1,0,1,1,,"F+,Ra",100,D,4,T,"fossils, detrital zircons",,E2,32,88.5,
4429,10373,Upper Oulongbuluke Formation,2024,"Cao, Y., Pei, J., Sun, Z., Li, H., Xu, W., Ye, X., Zhang, L.","First Late Cambrian Paleomagnetic results from the Oulongbuluke Terrane, Northern Tibetan Plateau: Implications for the Paleogeography of the Proto‐Tethys Ocean",Geophys.Res.Lett.,51,e2024GL110620,Asia,"sediments, limestones",485,501,485,501,37.2,96.6,68.2,231.9,4.6,7.8,16.2,36.9,31.5,6.7,16,113,5,1,1,1,0,0,1,1,4,1,0,1,0,0,1,1,HTC,Rc,100,D,4,T,fossils,Oulongbuluke,CB3,37.2,96.6,
