locality,age_ma,lat,lon,paleolat_hinsbergen2015,environment
"Makarov area, Sakhalin",14.0,48.63,142.74,48.63,Shallow shelf
"Il’pinskii Peninsula, Kamchatka",15.0,59.966,164.933,59.966,Shallow shelf
"Khatyr depression, Koryak Upland, Russia",15.0,62.2277,175.867,66.21,Shallow shelf
"Youngs river, Or, USA",15.0,46.11,-123.81,46.11,Shallow shelf
"Megler, Wa, USA",15.0,46.25,-123.85,46.25,Shallow shelf
"Ueda, Japan",15.0,36.4241,138.2967,36.4241,Shallow shelf
"Pogranichny area, Sakhalin",17.0,50.38,143.766,50.38,Shallow shelf
"Ozernoy Bay, Kamchatka",17.0,61.35,169.783,61.35,Shallow shelf
"Chita Peninsula, Japan",17.5,34.712793,136.911234,34.712793,Bathyal
"Pogranichny area, Sakhalin",18.0,50.38,143.766,50.38,Shallow shelf
"Mutnaya river, Sakhalin",18.0,50.534829,143.712411,50.534829,Shallow shelf
"Aichi, central Japan",18.0,34.71225,136.912611,34.71225,Shelf
"Schmidt Peninsula, Sakhalin",19.5,54.2786,142.417,54.2786,Abyssal
"Olympic Mountains, USA",20.0,46.2906,-123.7272,46.2906,Shallow shelf
"Ozernoy Bay, Kamchatka",20.0,61.35,169.783,61.35,Shallow shelf
"Kirpichnaya pad', Sakhalin",20.0,50.828165,142.097526,50.828165,
"Pogranichny area, Sakhalin",24.0,50.38,143.766,50.38,Shallow shelf
"Schmidt Peninsula, Sakhalin",24.0,54.2786,142.417,54.2786,Shallow shelf
"North Sea, offshore Denmark",24.0,56.449959,4.687621,51.35,Shallow shelf
"Silstrup Sydklint, Denmark",24.0,56.920278,8.6525,52.04,Shallow shelf
Fiddlers Bluff,24.0,47.87,-122.0896,47.87,Shallow shelf
"Kamchatka, Ugol'naya river",24.0,60.318677,165.796779,60.318677,Shallow shelf
"Il’pinskii Peninsula, Kamchatka",25.0,59.966,164.933,59.966,Shallow shelf
"Western Kamchatka, Russia",25.0,58.13,158.42,58.13,Shallow shelf
"Eastern Kamchatka, Southern Valaginskii Range",25.0,54.341772,158.59609,54.341772,Shallow shelf
Korfa Bay,25.0,60.333,165.7569,60.333,Shallow shelf
"Langyryisky area, Sakhalin",25.0,53.19,142.25,53.19,Shallow shelf
"Kawajiri, Misaki, Japan",25.0,34.304,135.154,34.304,Shallow shelf
"Creede Calderra, Colorado, US",25.0,37.81,-106.920109,37.81,lacustrine
