lat,lon,sample_name,TOAGE,FROMAGE,OnlyCooling,TempDiff
-15.717847,34.449722,LITH01212018-ZO4123,70.0,75.0,-0.5555555555555571,-0.11111111111111142
-15.717847,34.449722,LITH01212018-ZO4123,75.0,80.0,0.15555555555555856,0.03111111111111171
-15.717847,34.449722,LITH01212018-ZO4123,80.0,85.0,3.0,0.6
-15.717847,34.449722,LITH01212018-ZO4123,85.0,90.0,7.399999999999999,1.4799999999999998
-15.009391,35.459187,LITH01212018-ZO2567,0.0,5.0,7.5,1.5
-15.009391,35.459187,LITH01212018-ZO2567,5.0,10.0,7.5,1.5
-15.009391,35.459187,LITH01212018-ZO2567,10.0,15.0,0.0,0.0
-15.009391,35.459187,LITH01212018-ZO2567,15.0,20.0,0.0,0.0
-15.009391,35.459187,LITH01212018-ZO2567,20.0,25.0,0.0,0.0
-15.009391,35.459187,LITH01212018-ZO2567,25.0,30.0,0.3076923076923066,0.06153846153846132
-15.009391,35.459187,LITH01212018-ZO2567,30.0,35.0,0.3846153846153868,0.07692307692307736
-15.009391,35.459187,LITH01212018-ZO2567,35.0,40.0,0.3846153846153868,0.07692307692307736
-15.009391,35.459187,LITH01212018-ZO2567,40.0,45.0,0.3846153846153797,0.07692307692307594
-15.009391,35.459187,LITH01212018-ZO2567,45.0,50.0,0.3846153846153868,0.07692307692307736
-15.009391,35.459187,LITH01212018-ZO2567,50.0,55.0,2.06293706293706,0.41258741258741194
-15.009391,35.459187,LITH01212018-ZO2567,55.0,60.0,3.181818181818187,0.6363636363636374
-15.009391,35.459187,LITH01212018-ZO2567,60.0,65.0,3.18181818181818,0.636363636363636
-15.009391,35.459187,LITH01212018-ZO2567,65.0,70.0,3.18181818181818,0.636363636363636
-15.009391,35.459187,LITH01212018-ZO2567,70.0,75.0,4.071770334928232,0.8143540669856464
-15.009391,35.459187,LITH01212018-ZO2567,75.0,80.0,7.631578947368425,1.526315789473685
-15.009391,35.459187,LITH01212018-ZO2567,80.0,85.0,7.631578947368411,1.526315789473682
-15.009391,35.459187,LITH01212018-ZO2567,85.0,90.0,7.631578947368425,1.526315789473685
-15.009391,35.459187,LITH01212018-ZO2567,90.0,95.0,6.655870445344135,1.331174089068827
-15.009391,35.459187,LITH01212018-ZO2567,95.0,100.0,5.192307692307693,1.0384615384615388
-15.009391,35.459187,LITH01212018-ZO2567,100.0,105.0,5.192307692307693,1.0384615384615388
-15.009391,35.459187,LITH01212018-ZO2567,105.0,110.0,5.192307692307693,1.0384615384615388
-15.009391,35.459187,LITH01212018-ZO2567,110.0,115.0,5.192307692307679,1.0384615384615359
-15.009391,35.459187,LITH01212018-ZO2567,115.0,120.0,3.923076923076934,0.7846153846153868
